District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
SAN DIEGO UNIFIED,California,128040,0.22,0.2,0.14,0.599094033,22.83,1.017,0
CYPRESS-FAIRBANKS ISD,Texas,114868,0,0.13,0.08,0.499242609,16.48,1.02,0
COBB COUNTY,Georgia,113151,0.03,0.1,0.13,0.444388472,15.37,1.012,0
BALTIMORE COUNTY PUBLIC SCHOOLS,Maryland,112139,0,0.05,0.13,0.458520229,15.61,0.982,0
SHELBY COUNTY,Tennessee,111403,0,0.07,0.12,0.520134699,16.45,1.025,0
NORTHSIDE ISD,Texas,106145,0,0.08,0.12,0.328571429,15.38,1.05,0
PINELLAS,Florida,102905,0.12,0.06,0.13,0.502725815,15.08,1.056,0
POLK,Florida,102295,0.16,0.11,0.12,0.523789041,15.18,0.994,0
DEKALB COUNTY,Georgia,101284,0.08,0.15,0.1,0.714841436,14.73,0.906,0
JEFFERSON COUNTY,Kentucky,99813,0,0.07,0.12,0.598479156,16.37,1.013,1
FULTON COUNTY,Georgia,96122,0,0.07,0.1,0.725913621,14.98,1.054,0
LEE,Florida,92686,0.21,0.09,0.13,0.518988844,16.12,0.991,0
SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,Colorado,91138,0.27,0.29,0.11,0.67539336,15.24,1.131,1
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,90651,0.13,0.15,0.17,0.688574864,15.56,0.993,0
PRINCE WILLIAM CO PBLC SCHS,Virginia,89345,0,0.16,0.12,0.397582405,16.61,1.008,0
FORT WORTH ISD,Texas,87428,0,0.28,0.08,0.76610468,15.37,0.989,0
JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,Colorado,86371,0.12,0.06,0.11,0.319215941,18.24,0.975,1
AUSTIN ISD,Texas,83067,0.02,0.25,0.11,0.531751478,14.34,1.015,0
BALTIMORE CITY PUBLIC SCHOOLS,Maryland,82354,0.19,0.05,0.16,1,15.99,1.001,0
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,Maryland,81379,0.02,0.06,0.1,0.317514346,14.73,1.049,0
ALPINE DISTRICT,Utah,78957,0,0.04,0.11,0.19694264,21.8,1.038,0
LOUDOUN CO PBLC SCHS,Virginia,78348,0.02,0.1,0.11,0.171019043,14.98,0.994,0
GREENVILLE 01,South Carolina,76918,0.05,0.11,0.15,0.530422008,16.1,0.931,0
LONG BEACH UNIFIED,California,76428,0.02,0.2,0.13,0.689537866,25.98,1.066,0
MILWAUKEE SCHOOL DISTRICT,Wisconsin,76206,0.15,0.1,0.19,0.811497782,16.2,0.967,0
KATY ISD,Texas,75428,0,0.15,0.09,0.287678316,15.1,0.977,0
FORT BEND ISD,Texas,74146,0,0.15,0.07,0.371995792,16.6,0.999,0
BREVARD,Florida,73444,0.09,0.04,0.18,0.505786722,15.14,0.97,0
FRESNO UNIFIED,California,73356,0.07,0.21,0.11,0.873684498,23.17,1.028,0
GUILFORD COUNTY SCHOOLS,North Carolina,73059,0,0.07,0.14,0.643137738,15.38,1.09,0
DAVIS DISTRICT,Utah,72987,0,0.03,0.12,0.215682245,21.8,0.93,0
PASCO,Florida,72493,0.09,0.04,0.16,0.547666671,11.77,1.046,0
ALDINE ISD,Texas,69768,0,0.31,0.07,0.861942438,15.02,1.038,0
GRANITE DISTRICT,Utah,69580,0,0.17,0.11,0.588559931,21.8,0.959,0
VA BEACH CITY PBLC SCHS,Virginia,69085,0.01,0.01,0.11,0.365998408,17.22,1.061,0
SEMINOLE,Florida,67808,0.05,0.05,0.14,0.471773242,13.55,0.994,0
NORTH EAST ISD,Texas,67531,0,0.11,0.1,0.464201626,15.67,1.137,0
DOUGLAS COUNTY SCHOOL DISTRICT NO. RE 1,Colorado,67470,0.19,0.05,0.11,0.117000148,19.7,0.925,1
WASHOE COUNTY SCHOOL DISTRICT,Nevada,66671,0.08,0.15,0.13,0.460500067,18.8,1.002,0
MESA UNIFIED DISTRICT,Arizona,63444,0,0.06,0.15,0.592349158,19.07,1.005,1
ELK GROVE UNIFIED,California,63061,0.03,0.17,0.12,0.52590349,22.79,1.048,0
OSCEOLA,Florida,63031,0.25,0.2,0.11,0.569307166,16.32,0.975,0
VOLUSIA,Florida,63028,0.08,0.07,0.17,0.643571111,15.28,0.968,0
ARLINGTON ISD,Texas,62181,0,0.24,0.08,0.692253261,14.67,0.965,0
KNOX COUNTY,Tennessee,60372,0,0.04,0.13,0.729343457,15.55,1.012,0
SAN FRANCISCO UNIFIED,California,60133,0.11,0.25,0.12,0.530740193,21.27,1.098,0
CHESTERFIELD CO PBLC SCHS,Virginia,60060,0,0.05,0.12,0.303429903,15.76,0.952,0
CONROE ISD,Texas,59764,0,0.13,0.08,0.356636102,16.48,0.947,0
EL PASO ISD,Texas,59424,0,0.26,0.11,0.694079833,14.94,0.966,0
GARLAND ISD,Texas,57133,0,0.25,0.08,0.637582483,15.66,0.972,0
MOBILE COUNTY,Alabama,56628,0,0.01,0.08,0.502807798,18.07,1.056,0
PASADENA ISD,Texas,56282,0,0.28,0.1,0.776944671,14.63,1.072,0
FRISCO ISD,Texas,55923,0,0.05,0.09,0.104929993,14.66,1.393,0
HOWARD COUNTY PUBLIC SCHOOLS,Maryland,55626,0,0.05,0.1,0.201542444,13.46,0.984,0
WINSTON SALEM/FORSYTH COUNTY SCHOOLS,North Carolina,55228,0,0.1,0.13,0.601977258,14.65,1.079,0
CHERRY CREEK SCHOOL DISTRICT NO. 5 IN THE COUNTY OF ARAPAH,Colorado,54852,0.03,0.08,0.11,0.297819587,17.94,1.007,1
SANTA ANA UNIFIED,California,54505,0.1,0.38,0.12,0.865003211,25.13,0.989,0
CLAYTON COUNTY,Georgia,54345,0,0.09,0.11,0.995068544,17.08,0.963,0
SEATTLE PUBLIC SCHOOLS,Washington,54215,0,0.12,0.13,0.354698884,17.46,0.938,0
PLANO ISD,Texas,54173,0,0.13,0.11,0.285954258,13.87,0.922,0
CAPISTRANO UNIFIED,California,53613,0.08,0.09,0.11,0.216775782,26.75,0.942,0
JORDAN DISTRICT,Utah,53416,0,0.04,0.12,0.244233937,21.8,0.92,0
LEWISVILLE ISD,Texas,53257,0,0.14,0.11,0.32361943,13.96,1.005,0
CORONA-NORCO UNIFIED,California,53157,0,0.14,0.13,0.431175574,25.37,0.97,0
SAN BERNARDINO CITY UNIFIED,California,53152,0.15,0.26,0.12,0.863372968,24.41,1.052,0
SAN ANTONIO ISD,Texas,52514,0.15,0.17,0.1,0.906805804,16.28,1.234,0
OMAHA PUBLIC SCHOOLS,Nebraska,52344,0,0.17,0.19,0.699488002,14.51,1.002,0
ATLANTA PUBLIC SCHOOLS,Georgia,51927,0.18,0.04,0.1,0.766210257,13.38,1.055,0
KLEIN ISD,Texas,51810,0,0.14,0.09,0.405616676,15.32,1.067,0
HENRICO CO PBLC SCHS,Virginia,51425,0,0.06,0.13,0.399358289,17.52,0.982,0
CUMBERLAND COUNTY SCHOOLS,North Carolina,51194,0,0.02,0.14,0.687639176,15.39,1.047,0
WICHITA,Kansas,50600,0,0.21,0.14,0.721758893,14.72,1.128,0
OAKLAND UNIFIED,California,49760,0.29,0.24,0.13,0.7335209,20.48,0.983,1
SAN JUAN UNIFIED,California,49255,0.13,0.11,0.13,0.502081007,24.51,0.99,0
MANATEE,Florida,48884,0.14,0.13,0.16,0.544861304,11.4,0.939,0
JEFFERSON PARISH,Louisiana,48668,0.08,0.14,0.11,0.61993507,17.29,0.953,0
CHARLESTON 01,South Carolina,48551,0.12,0.06,0.1,0.560194435,14.81,1.063,0
ROUND ROCK ISD,Texas,48321,0,0.09,0.09,0.258376275,14.3,0.95,0
ANCHORAGE SCHOOL DISTRICT,Alaska,48238,0.09,0.13,0.14,0.457046312,17.11,1.005,0
PORTLAND SD 1J,Oregon,48173,0.09,0.08,0.16,0.385693231,17.17,1.069,0
TUCSON UNIFIED DISTRICT,Arizona,47366,0,0.07,0.15,0.65857366,17.93,0.861,1
BROWNSVILLE ISD,Texas,46880,0,0.3,0.11,0.958703072,15.49,0.928,0
SACRAMENTO CITY UNIFIED,California,46815,0.17,0.19,0.14,0.679354908,23.18,0.996,0
COLLIER,Florida,46416,0.07,0.15,0.13,0.596152189,15.56,0.997,0
ALIEF ISD,Texas,46376,0,0.39,0.07,0.825621011,13.73,0.957,0
FORSYTH COUNTY,Georgia,46238,0,0.06,0.12,0.157943683,16.69,1.018,0
SOCORRO ISD,Texas,45927,0,0.2,0.09,0.711389814,17.73,1.08,0
CHANDLER UNIFIED DISTRICT #80,Arizona,44352,0,0.03,0.11,0.296333874,19.48,0.956,1
GARDEN GROVE UNIFIED,California,44223,0,0.39,0.12,0.68127445,24.12,0.948,0
HORRY 01,South Carolina,43991,0.08,0.07,0.14,0.652769885,15.55,0.942,0
KILLEEN ISD,Texas,43782,0,0.09,0.11,0.550157599,15.31,0.917,0
UNITED ISD,Texas,43660,0,0.35,0.08,0.755497022,17.19,1.016,0
MARION,Florida,43032,0.06,0.06,0.15,0.650934189,15.82,0.998,0
SARASOTA,Florida,42810,0.2,0.07,0.16,0.478533053,13.85,1.045,0
RIVERSIDE UNIFIED,California,42769,0.04,0.17,0.12,0.610114803,24.6,0.944,0
CLOVIS UNIFIED,California,42746,0.02,0.06,0.09,0.402680953,25.55,1.126,0
CHEROKEE COUNTY,Georgia,41916,0,0.06,0.12,0.303535643,15.56,1.07,0
CLEAR CREEK ISD,Texas,41819,0.04,0.09,0.1,0.283124895,16.96,1.203,0
AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,Colorado,41797,0.11,0.33,0.11,0.65980812,18.33,1.022,1
UNION COUNTY PUBLIC SCHOOLS,North Carolina,41782,0,0.05,0.1,0.335479393,16.41,1.095,0
SALEM-KEIZER SD 24J,Oregon,41756,0.06,0.21,0.18,0.623742696,19.91,0.955,0
YSLETA ISD,Texas,41536,0,0.23,0.12,0.788448575,15.31,0.957,0
FREDERICK COUNTY PUBLIC SCHOOLS,Maryland,41317,0.04,0.05,0.11,0.268339909,16.1,0.948,0
HUMBLE ISD,Texas,41224,0,0.08,0.08,0.334004463,15.39,0.895,0
MESQUITE ISD,Texas,41038,0,0.22,0.1,0.750012184,15.72,0.959,0
STOCKTON UNIFIED,California,40984,0.21,0.25,0.1,0.802239898,28.59,0.965,0
BEAVERTON SD 48J,Oregon,40889,0.04,0.14,0.14,0.363349556,18.34,0.993,0
SWEETWATER UNION HIGH,California,40671,0.1,0.22,0.13,0.512871579,23.55,0.979,0
EAST BATON ROUGE PARISH,Louisiana,40579,0.08,0.07,0.1,0.779417926,10.63,1.192,0
NEWARK PUBLIC SCHOOL DISTRICT,New Jersey,40514,0,0.1,0.14,0.702621316,14.92,1.013,0
ESCAMBIA,Florida,40386,0.08,0.01,0.15,0.588124598,14.79,1.042,0
ST. LUCIE,Florida,40383,0.08,0.09,0.12,0.652452765,16.77,0.959,0
CHESAPEAKE CITY PBLC SCHS,Virginia,40192,0,0.02,0.17,0.363455414,15.36,1.032,0
LINCOLN PUBLIC SCHOOLS,Nebraska,40109,0,0.09,0.16,0.457752624,13.36,1.04,0
CADDO PARISH,Louisiana,39921,0.06,0.01,0.1,0.540642769,16.65,0.997,0
OKLAHOMA CITY,Oklahoma,39806,0,0.31,0.14,0.834296337,16.81,1.047,1
SD U-46,Illinois,39665,0,0.27,0.13,0.600932812,18.18,0.937,0
RICHARDSON ISD,Texas,39268,0,0.24,0.11,0.540338189,15.2,0.97,0
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Minnesota,38820,0,0.06,0.15,0.338098918,18.77,0.984,0
ADAMS 12 FIVE STAR SCHOOLS,Colorado,38818,0.06,0.14,0.11,0.393812149,19.6,0.945,1
KERN HIGH,California,38705,0.04,0.07,0.1,0.657641132,25.81,0.972,0
TULSA,Oklahoma,38625,0,0.18,0.17,0.797411003,16.61,1.059,1
ST. JOHNS,Florida,38550,0.06,0.01,0.15,0.229079118,14.05,0.989,0
JOINT SCHOOL DISTRICT NO. 2,Idaho,38406,0.03,0.03,0.1,0.263318232,19.64,0.911,0
CORPUS CHRISTI ISD,Texas,38327,0.02,0.06,0.09,0.661491899,16.67,1.077,0
ST. TAMMANY PARISH,Louisiana,38270,0,0.02,0.16,0.438332898,16.37,0.984,0
LEANDER ISD,Texas,38226,0,0.05,0.11,0.189085962,15.12,1.092,0
CHATHAM COUNTY,Georgia,38047,0.07,0.03,0.11,0.640050464,13.91,1.001,0
FONTANA UNIFIED,California,38014,0,0.31,0.13,0.82674804,23.21,0.933,0
HARFORD COUNTY PUBLIC SCHOOLS,Maryland,37426,0,0.01,0.13,0.310693101,14.63,0.964,0
CLAY,Florida,37051,0.06,0.02,0.2,0.444252517,14.92,0.986,0
SPRING ISD,Texas,36698,0,0.21,0.08,0.684587716,17.05,0.915,0
MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Minnesota,36675,0,0.22,0.19,0.615569189,13.43,1.084,0
PEORIA UNIFIED SCHOOL DISTRICT,Arizona,36552,0,0.03,0.14,0.42952506,18.89,0.988,1
JEFFERSON COUNTY,Alabama,36171,0,0.04,0.08,0.598479156,18.22,0.991,0
POWAY UNIFIED,California,35956,0,0.12,0.12,0.142118144,25.01,1.047,0
JOHNSTON COUNTY SCHOOLS,North Carolina,35387,0,0.07,0.16,0.464379574,15.42,1.191,0
FREMONT UNIFIED,California,35171,0.02,0.16,0.1,0.165789997,24.5,0.942,0
SPRING BRANCH ISD,Texas,35079,0.04,0.31,0.07,0.559480031,15.62,0.968,0
GILBERT UNIFIED DISTRICT,Arizona,34889,0,0.01,0.13,0.271260283,18.7,0.854,1
IRVING ISD,Texas,34792,0,0.35,0.07,0.775982985,15.24,0.937,0
EDINBURG CISD,Texas,34680,0,0.3,0.06,0.851989619,15.04,0.951,0
KELLER ISD,Texas,34660,0,0.07,0.09,0.243421812,15.09,1.048,0
DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,Iowa,34656,0,0.2,0.16,0.703860803,14.28,1.023,0
BERKELEY 01,South Carolina,34628,0,0.06,0.12,0.656289708,16.58,1.122,0
CANYONS DISTRICT,Utah,34520,0,0.05,0.11,0.279258401,21.8,1.024,0
MANSFIELD ISD,Texas,34309,0,0.09,0.09,0.402547437,15.77,1.085,0
BUFFALO CITY SCHOOL DISTRICT,New York,34293,0,0.15,0.27,0.597614674,12.62,0.943,0
LEON,Florida,33952,0.08,0.02,0.15,0.409430961,16.75,1.047,0
DEER VALLEY UNIFIED DISTRICT,Arizona,33907,0,0.02,0.11,0.279706255,17.93,1.063,1
DURHAM PUBLIC SCHOOLS,North Carolina,33643,0,0.13,0.13,0.636179889,14.52,1.075,0
MONTGOMERY COUNTY,Tennessee,33541,0,0.02,0.14,0.622730055,16.12,1.035,0
DESOTO CO SCHOOL DIST,Mississippi,33537,0,0.05,0.15,0.533321406,16.66,1.049,0
AMARILLO ISD,Texas,33537,0,0.13,0.1,0.677639622,14.85,1.124,0
MORENO VALLEY UNIFIED,California,33408,0.03,0.21,0.14,0.816331418,24.92,0.975,0
IRVINE UNIFIED,California,33381,0,0.19,0.09,0.136844313,27.2,1.412,0
NEBO DISTRICT,Utah,33255,0,0.03,0.14,0.326176515,21.8,0.963,0
SAN RAMON VALLEY UNIFIED,California,32425,0,0.05,0.09,0.03765613,24.06,1.038,0
CALCASIEU PARISH,Louisiana,32397,0,0.02,0.14,0.476340402,12.24,0.96,0
PHARR-SAN JUAN-ALAMO ISD,Texas,32203,0,0.39,0.07,0.87734062,15.48,0.973,0
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Colorado,32171,0.12,0.12,0.11,0.313667589,18.13,0.947,1
GASTON COUNTY SCHOOLS,North Carolina,32030,0,0.04,0.14,0.637371214,16.58,1.063,0
SAN JOSE UNIFIED,California,32004,0.09,0.2,0.12,0.447944007,22.66,0.906,0
TWIN RIVERS UNIFIED,California,31979,0.19,0.23,0.14,0.828043403,23.89,1.013,0
CABARRUS COUNTY SCHOOLS,North Carolina,31979,0,0.05,0.11,0.401888739,16.37,1.055,0
PARADISE VALLEY UNIFIED DISTRICT,Arizona,31905,0,0.06,0.13,0.349475004,17.63,0.981,1
MT. DIABLO UNIFIED,California,31814,0.02,0.23,0.13,0.432105362,22.24,1.012,0
WEBER DISTRICT,Utah,31594,0,0.03,0.14,0.324618598,21.8,1.034,0
MUSCOGEE COUNTY,Georgia,31590,0.04,0.03,0.14,0.79325736,16.2,0.93,0
ECTOR COUNTY ISD,Texas,31481,0,0.16,0.08,0.553095518,15.58,1.312,0
NORFOLK CITY PBLC SCHS,Virginia,31425,0,0.03,0.13,0.677772474,13.94,1.006,0
BALDWIN COUNTY,Alabama,31268,0,0.03,0.09,0.832364693,17.81,0.899,0
WEST CONTRA COSTA UNIFIED,California,31267,0.15,0.31,0.14,0.701890172,23.27,1.284,0
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,Colorado,31189,0.09,0.07,0.11,0.2092725,18.39,0.939,1
RICHMOND COUNTY,Georgia,31159,0,0.01,0.11,0.967457235,16.18,1.032,0
OKALOOSA,Florida,31093,0.06,0.03,0.15,0.45154858,16.65,1.033,0
INDIANAPOLIS PUBLIC SCHOOLS,Indiana,31011,0,0.14,0.19,0.633226919,14.81,0.93,0
ANAHEIM UNION HIGH,California,30964,0,0.21,0.12,0.669648624,26.04,0.996,0
LAMAR CISD,Texas,30829,0,0.12,0.08,0.421388952,16.41,1.229,0
LODI UNIFIED,California,30797,0.11,0.24,0.14,0.665714193,22.76,1.006,0
SPOKANE SCHOOL DISTRICT,Washington,30773,0,0.06,0.15,0.579339031,16.69,0.992,0
WASHINGTON DISTRICT,Utah,30693,0,0.06,0.14,0.439416154,21.8,0.987,0
STATE-SPONSORED CHARTER SCHOOLS,Nevada,30654,1,0.05,0.08,0.241860769,27.86,0.934,0
BAKERSFIELD CITY,California,30372,0,0.29,0.1,0.889273015,22.12,1.015,0
MONTGOMERY COUNTY,Alabama,30322,0,0.05,0.06,0.622730055,17.84,0.98,0
FORT WAYNE COMMUNITY SCHOOLS,Indiana,30150,0,0.08,0.18,0.602321725,19.73,1.038,0
CHULA VISTA ELEMENTARY,California,30053,0.15,0.34,0.13,0.503144445,22.96,1.03,0
LAFAYETTE PARISH,Louisiana,30015,0,0.05,0.08,0.637514576,17.8,0.967,0
TEMECULA VALLEY UNIFIED,California,29917,0.07,0.06,0.13,0.233713273,24.63,0.96,0
POUDRE SCHOOL DISTRICT R-1,Colorado,29682,0.08,0.05,0.11,0.300080857,17.07,1.002,1
JERSEY CITY SCHOOL DISTRICT,New Jersey,29659,0,0.09,0.14,0.682457264,11.98,0.978,1
LA JOYA ISD,Texas,29500,0,0.48,0.07,0.937457627,14.87,0.978,0
ALACHUA,Florida,29475,0.22,0.03,0.13,0.484173028,19.57,0.991,0
ROCHESTER CITY SCHOOL DISTRICT,New York,29436,0,0.13,0.23,0.810266341,12.43,1.051,0
OLATHE,Kansas,29411,0,0.11,0.13,0.280099283,14.4,1.093,0
GRAND PRAIRIE ISD,Texas,29344,0.1,0.27,0.09,0.755452563,14.95,0.946,0
IDEA PUBLIC SCHOOLS,Texas,29335,1,0.31,0.05,0.885801943,22.93,0.769,0
LAKE WASHINGTON SCHOOL DISTRICT,Washington,29180,0,0.1,0.11,0.12114462,18.92,0.939,0
TACOMA SCHOOL DISTRICT,Washington,29098,0,0.1,0.14,0.596742044,17.91,0.959,1
PAULDING COUNTY,Georgia,29018,0,0.02,0.13,0.413743194,16.1,0.972,0
DESERT SANDS UNIFIED,California,28958,0.06,0.24,0.11,0.666758754,24.95,0.99,0
VISALIA UNIFIED,California,28932,0.12,0.14,0.1,0.653152219,24.97,1.002,0
PATERSON PUBLIC SCHOOL DISTRICT,New Jersey,28899,0,0.14,0.13,0.660714904,13.74,1.041,0
CHINO VALLEY UNIFIED,California,28886,0.03,0.11,0.14,0.453610746,25.34,0.935,0
NEWPORT NEWS CITY PBLC SCHS,Virginia,28843,0,0.04,0.12,0.625767084,16.05,0.991,0
DENTON ISD,Texas,28628,0,0.14,0.11,0.418296772,13.84,1.078,0
ROCKFORD SD 205,Illinois,28585,0.06,0.12,0.15,0.518453734,16.36,1.072,0
ORANGE UNIFIED,California,28522,0.05,0.24,0.12,0.430474721,24.72,0.971,0
LUBBOCK ISD,Texas,28515,0,0.04,0.11,0.66652639,14.21,1.004,0
STAFFORD CO PBLC SCHS,Virginia,28386,0,0.05,0.1,0.27566406,17.36,1.113,0
ROSEMOUNT-APPLE VALLEY-EAGAN,Minnesota,28317,0,0.06,0.14,0.237419218,16.66,0.979,0
ST. LOUIS CITY,Missouri,28270,0,0.07,0.12,0.842023346,14.67,1.035,0
INDIAN PRAIRIE CUSD 204,Illinois,28071,0,0.07,0.11,0.163193331,16.28,0.941,0
BAY,Florida,28024,0.19,0.03,0.18,0.473629746,15.69,1.039,0
ELIZABETH PUBLIC SCHOOLS,New Jersey,27954,0,0.17,0.12,0.791121128,13.35,0.99,0
COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,Colorado,27911,0.11,0.06,0.11,0.596467343,16.88,0.918,1
KENT SCHOOL DISTRICT,Washington,27849,0,0.19,0.1,0.144680851,19.43,0.954,0
SADDLEBACK VALLEY UNIFIED,California,27803,0.03,0.17,0.13,0.25950437,25.84,1.005,0
RICHLAND 02,South Carolina,27802,0.03,0.05,0.13,0.484605424,14.74,0.986,0
UTICA COMMUNITY SCHOOLS,Michigan,27718,0,0.11,0.12,0.307165019,19.88,1.009,0
PLAINFIELD SD 202,Illinois,27589,0,0.06,0.15,0.261662257,17.12,0.921,0
SHAWNEE MISSION PUB SCH,Kansas,27512,0,0.12,0.1,0.357080547,15.74,0.995,0
SANTA ROSA,Florida,27473,0.05,0.01,0.13,0.441852,15.39,0.999,0
PHOENIX UNION HIGH SCHOOL DISTRICT,Arizona,27423,0,0.06,0.11,0.90865332,18.48,1.022,1
MONTEBELLO UNIFIED,California,27398,0,0.33,0.13,0.815241988,26.81,1.015,0
HALL COUNTY,Georgia,27229,0,0.18,0.12,0.571192479,15.88,0.941,0
EAST SIDE UNION HIGH,California,27049,0.38,0.14,0.11,0.502199712,23.22,1.015,0
YONKERS CITY SCHOOL DISTRICT,New York,27006,0,0.12,0.18,0.732503888,17.64,1.016,0
MADISON METROPOLITAN SCHOOL DISTRICT,Wisconsin,26999,0.06,0.19,0.13,0.460646691,12.73,0.996,0
JACKSON PUBLIC SCHOOL DIST,Mississippi,26948,0,0.01,0.09,1,16.3,0.998,0
COLUMBIA COUNTY,Georgia,26914,0,0.02,0.08,0.329085234,16.95,0.965,0
WILLIAM S. HART UNION HIGH,California,26822,0.2,0.08,0.13,0.270449631,23.11,0.998,0
KANAWHA COUNTY SCHOOLS,West Virginia,26625,0,0.01,0.15,0.423211268,14.47,1.048,1
NEW HANOVER COUNTY SCHOOLS,North Carolina,26415,0,0.04,0.13,0.535415484,15.1,1.032,0
CHARLES COUNTY PUBLIC SCHOOLS,Maryland,26390,0,0.02,0.12,0.387912088,14.83,0.962,0
ONSLOW COUNTY SCHOOLS,North Carolina,26352,0,0.01,0.15,0.483151184,16.51,1.087,0
DOUGLAS COUNTY,Georgia,26297,0.03,0.06,0.13,0.620945355,15.95,1.051,0
BOISE INDEPENDENT DISTRICT,Idaho,26263,0.02,0.08,0.12,0.417659826,16.95,0.943,0
EVERGREEN SCHOOL DISTRICT (CLARK),Washington,26231,0,0.13,0.13,0.485532385,17.9,0.915,0
ARLINGTON CO PBLC SCHS,Virginia,26176,0,0.18,0.14,0.300771699,13.66,0.965,0
GLENDALE UNIFIED,California,26075,0,0.23,0.1,0.47451582,24.82,0.953,0
DORCHESTER 02,South Carolina,26066,0,0.03,0.12,0.435318039,16.94,1.099,0
PLACENTIA-YORBA LINDA UNIFIED,California,25798,0,0.16,0.11,0.335258547,26.24,0.974,0
SPRINGFIELD R-XII,Missouri,25768,0,0.04,0.12,0.521305495,15.84,1.03,0
RIALTO UNIFIED,California,25684,0,0.28,0.13,0.824949385,24.66,0.945,0
LEXINGTON 01,South Carolina,25621,0,0.04,0.13,0.413684087,14.43,1.033,0
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,25591,0.11,0.02,0.11,0.135555469,17.08,0.944,1
CARROLLTON-FARMERS BRANCH ISD,Texas,25276,0.03,0.27,0.11,0.643614496,15.1,0.928,0
CARROLL COUNTY PUBLIC SCHOOLS,Maryland,25255,0,0.01,0.12,0.199128885,14.28,0.994,0
LIVINGSTON PARISH,Louisiana,25150,0,0.02,0.12,0.521272366,15.85,0.987,0
VISTA UNIFIED,California,25149,0.15,0.18,0.13,0.61258897,22.11,0.97,0
RICHMOND CITY PBLC SCHS,Virginia,24868,0.04,0.08,0.17,0.906626991,16.6,1.011,0
MCKINNEY ISD,Texas,24851,0,0.1,0.11,0.30199992,14.88,0.954,0
AIKEN 01,South Carolina,24838,0.08,0.06,0.13,0.67948305,16.05,0.97,0
LAS CRUCES PUBLIC SCHOOLS,New Mexico,24804,0,0.11,0.15,0.730204806,16.83,1.033,0
MIDLAND ISD,Texas,24692,0,0.11,0.07,0.503199417,15.69,1.323,0
DYSART UNIFIED DISTRICT,Arizona,24672,0,0.03,0.14,0.49817607,21.37,0.93,1
SIOUX FALLS SCHOOL DISTRICT 49-5,South Dakota,24662,0,0.08,0.15,0.423039494,15.46,1.081,0
PFLUGERVILLE ISD,Texas,24591,0,0.2,0.1,0.483550893,14.15,1.039,0
EDMOND,Oklahoma,24403,0,0.04,0.11,0.267426136,18.81,0.997,1
